file,name,nickname,uid,note,privateNote
,Nonteup,,803727115,,
,celestia,,808464075,,
,RUM,,809709578,,
,Cat8,,817285610,,
,KnightFury1709,,829259810,,
,Nanashi,,829709208,,
,'+,,830153478,,
,+,,830153478,,
,cloud,,833761844,,
,xin,,833870754,,
,croissantmaker,,835027915,,
,Ragnarok,,835038151,,
,CrimsonSkies,,835378433,,
,jenro_,,839050003,,
,ASH,,844381606,,
,Louis,,846415909,,
,YSA,,850434179,,
,main,,851450388,,
,Ice,,862729563,,
,ilikewaffles,,867440390,,
,Darkside,,873170510,,
,RS,,877387216,,
,hitomu,,878362802,,
,KR,,880528698,,
,Eli_,,883240705,,
,Tabibito,,885434773,,
,Ayush,,886198377,,
,whale,,890331880,,
,Ai,,1803013326,,
,crystal,,1804330420,,
,Yash,,1810118859,,
,AYUSH,,1811414036,,
,Ayd,,1813137290,,
,Lumine,,1813761550,,
,DEMON,,1817059868,,
,Geddon,,1818114578,,
,jothi,,1821164509,,
,ZeSukaGelap,,888776471,,
,Slooth,,863064725,,
,KAZUHA,,891607759,,
,mira,,848626734,,
,Mis.fuo,,853666947,,
,Prabhat,,1816808012,,
,Lengleng,,1813061795,,
,Jater,,1806186169,,
,Plant,,863784940,,
,ken,,11815198038,,
,Shogun,,1800314013,,
,Hinata,,1810247614,,
,controlrain,,1812014961,,
,Retinoblastoma,,883187047,,
,Ratnadip,,832864129,,
,Melony,,1811823182,,
,Yash,,877384060,,
,Karin>w<,,889657042,,
,Geee,,850640059,,
,Sonu,,1812287838,,
,Lumipheral,,849134441,,
,BitterGuy,,847223610,,
,Ravi,,1811779341,,
,sa,,800382835,,
,Nish,,887405352,,
,sohail,,818689249,,
,Gautam,,1809547362,,
,Dinesh,,834765953,,
,Arkham,,862267893,,
,우사,,1803098193,,
,Akhil,,1806734201,,
,Master_W,,891334421,,
,Nani,,820764593,,
,Iris,,834311290,,
,Royris,,1817252639,,
,lalalostyou,,861019211,,
,Autumn,,833475316,,
,Lumine,,897231286,,
,Katsu,,868850121,,
Genshin Impact Screenshot 2025.11.21 - 00.00.00.jpg,来了客官,JP,1816751825,,
Genshin Impact Screenshot 2026.03.17 - 00.00.00.jpg,megaking,,1815483213,,
Genshin Impact Screenshot 2026.03.16 - 00.00.00.jpg,LastFire,,851886508,,
Genshin Impact Screenshot 2026.03.05 - 00.00.00.jpg,mitesh,,888689329,,
Genshin Impact Screenshot 2026.02.28 - 00.00.00.jpg,Sam,,1800633488,,
Genshin Impact Screenshot 2026.02.26 - 00.00.00.jpg,Ichigo,,847090275,,
Genshin Impact Screenshot 2026.02.26 - 00.00.00.jpg,луна,Luna,1819007209,,
Genshin Impact Screenshot 2026.02.20 - 00.00.00.jpg,Kaine,,860158166,,
Genshin Impact Screenshot 2026.02.20 - 00.00.00.jpg,TOE,,886378409,,
Genshin Impact Screenshot 2026.02.18 - 00.00.00.jpg,bunnysta,Kishi,882234492,,
Genshin Impact Screenshot 2026.02.16 - 00.00.00.jpg,果咩呐塞了宁,JP,861683361,,
Genshin Impact Screenshot 2026.02.13 - 00.00.00.jpg,Aditya,,1818357555,,
Genshin Impact Screenshot 2026.02.12 - 00.00.00.jpg,Ash,,1804834363,,
Genshin Impact Screenshot 2026.02.03 - 00.00.00.jpg,Novarinzei,,1808480381,,
Genshin Impact Screenshot 2026.01.30 - 00.00.00.jpg,raj,,829199272,,
Genshin Impact Screenshot 2026.01.29 - 17.36.23.png,Axe,,818990908,,
Genshin Impact Screenshot 2026.01.25 - 00.00.00.jpg,Kiro,,1813736599,,
Genshin Impact Screenshot 2026.01.20 - 00.00.00.jpg,pramod,,1818725946,,
Genshin Impact Screenshot 2026.01.16 - 00.00.00.jpg,旅行者,JP,889079881,,
Genshin Impact Screenshot 2026.01.15 - 00.00.00.jpg,mahiru,,1812459127,,Odisa
Genshin Impact Screenshot 2026.01.14 - 00.00.00.jpg,Chiwiwis,,850379760,,
Genshin Impact Screenshot 2026.01.14 - 00.00.00.jpg,SPIKE,,1812966857,,
Genshin Impact Screenshot 2026.01.10 - 00.00.00.jpg,Fuyu,,882082289,,
Genshin Impact Screenshot 2026.01.08 - 00.00.00.jpg,Rubicon,,895528745,,Philippines (guess)
Genshin Impact Screenshot 2026.01.06 - 00.00.00.jpg,Jamie,,851151297,,
Genshin Impact Screenshot 2026.01.06 - 00.00.00.jpg,MARIN,,1805627755,,
Genshin Impact Screenshot 2026.01.05 - 00.00.00.jpg,Jay,,1803493670,,
Genshin Impact Screenshot 2026.01.04 - 00.00.00.jpg,KielPaullat,,853288433,Philippines,
Genshin Impact Screenshot 2026.01.04 - 00.00.00.jpg,Tea,,880577609,,
Genshin Impact Screenshot 2025.12.31 - 00.00.00.jpg,KOLA,,893135822,,
Genshin Impact Screenshot 2025.12.12 - 00.00.00.jpg,Jai_Maa_Kaali,Vikrant,1808514361,,
Genshin Impact Screenshot 2025.12.12 - 00.00.00.jpg,Kiaske,,1815548675,,
Genshin Impact Screenshot 2025.12.07 - 00.00.00.jpg,Oreki,,811208025,,
Genshin Impact Screenshot 2025.11.26 - 00.00.00.jpg,Shogun,,1800314013,,
Genshin Impact Screenshot 2025.11.24 - 00.00.00.jpg,Siddhesh,,889727217,,
Genshin Impact Screenshot 2025.11.22 - 00.00.00.jpg,Chirz,,887220765,,
Genshin Impact Screenshot 2025.11.21 - 00.00.00.jpg,Gojo,,811239676,,
Genshin Impact Screenshot 2025.11.21 - 00.00.00.jpg,Nerissa,,847433915,,
Genshin Impact Screenshot 2025.11.18 - 00.00.00.jpg,Giyuu,,1820537338,,
Genshin Impact Screenshot 2025.11.17 - 00.00.00.jpg,astro,,839262779,,
Genshin Impact Screenshot 2025.11.15 - 00.00.00.jpg,Shreyank,,849009920,,
Genshin Impact Screenshot 2025.11.10 - 00.00.00.jpg,MORAX,,1814983094,,
Genshin Impact Screenshot 2025.11.04 - 22.56.53.07.png,shubham,,1810160135,,
Genshin Impact Screenshot 2025.11.04 - 00.00.00.jpg,Pikachu,,1807648326,,
Genshin Impact Screenshot 2025.11.02 - 00.00.00.jpg,ボア,JP,1816470142,,
Genshin Impact Screenshot 2025.11.01 - 15.11.00.jpg,Sara,,829263500,,
Genshin Impact Screenshot 2025.10.31 - 00.00.00.jpg,DreamerMnz%,,1800591604,,
Genshin Impact Screenshot 2025.10.27 - 00.00.00.jpg,JOYCELINE,,1810419944,,
Genshin Impact Screenshot 2025.10.27 - 00.00.00.jpg,*,,1818523066,,
Genshin Impact Screenshot 2025.10.26 - 00.00.00.jpg,Sachiko,,819884919,,
Genshin Impact Screenshot 2025.10.26 - 00.00.00.jpg,Shiko,,1816207005,,
Genshin Impact Screenshot 2025.10.25 - 00.00.00.jpg,Ninja,,1800078965,,
Genshin Impact Screenshot 2025.10.24 - 00.00.00.jpg,Yuki,,816994409,,
Genshin Impact Screenshot 2025.10.21 - 00.00.00.jpg,ketan,,890676501,,
Genshin Impact Screenshot 2025.10.18 - 00.00.00.jpg,Natashaaa,,1816440745,,Indo
Genshin Impact Screenshot 2025.10.11 - 21.08.02.49.png,TeppanyakiOptr,,857716070,,
Genshin Impact Screenshot 2025.10.10 - 00.00.00.jpg,Awanish,,831598727,,
Genshin Impact Screenshot 2025.10.08 - 00.38.28.56.png,BURMA*Flins,,1804676878,,
Genshin Impact Screenshot 2025.10.07 - 00.00.00.jpg,Certifiedclown,,1803624446,,
Genshin Impact Screenshot 2025.10.06 - 12.04.06.77.png,Krish,,1812442449,,
Genshin Impact Screenshot 2025.10.05 - 18.45.15.png,Ben,,887892236,,
Genshin Impact Screenshot 2025.09.30 - 15.17.32.png,Janu,,886439837,,
Genshin Impact Screenshot 2025.09.30 - 00.00.00.jpg,daisy,,1802356476,,
Genshin Impact Screenshot 2025.09.22 - 21.13.39.10.png,ANIS,,1810652652,,
Genshin Impact Screenshot 2025.09.22 - 00.00.00.jpg,Flshlite,,1816119227,,
Genshin Impact Screenshot 2025.09.19 - 00.00.00.jpg,Ivy^_^,,1805529936,,Sri Lanka
Genshin Impact Screenshot 2025.09.19 - 00.00.00.jpg,Paracetamol,,1814370215,,
Genshin Impact Screenshot 2025.09.18 - 18.36.53.44.png,Saksham,,1802765589,,
Genshin Impact Screenshot 2025.09.17 - 12.11.19.97.png,Alexter,,1817342031,,
Genshin Impact Screenshot 2025.09.17 - 00.00.00.jpg,Pratham,,1813775766,,
Genshin Impact Screenshot 2025.09.16 - 00.00.00.jpg,OBITO,,1809463230,,
Genshin Impact Screenshot 2025.09.15 - 00.00.00.jpg,ShoKo,,1807079262,,
Genshin Impact Screenshot 2025.09.11 - 15.58.55.06.png,DucVu,,880649175,,
Genshin Impact Screenshot 2025.09.11 - 14.50.22.71.png,ZEN,,1803602437,,
Genshin Impact Screenshot 2025.09.10 - 10.43.40.75.png,sam,,1817150247,,
Genshin Impact Screenshot 2025.09.09 - 00.00.00.jpg,ZORO,,1815544215,,
Genshin Impact Screenshot 2025.09.08 - 11.35.54.89.png,goloplaysolo,,1812219550,,
Genshin Impact Screenshot 2025.09.06 - 23.04.52.100.png,Reehan,,801138587,,
Genshin Impact Screenshot 2025.09.06 - 00.00.00.jpg,Accel,,892509998,,
Genshin Impact Screenshot 2025.09.05 - 23.15.00.jpg,PSYCHO,,884919200,,
Genshin Impact Screenshot 2025.09.05 - 22.34.23.png,Hunter,,893519349,,
Genshin Impact Screenshot 2025.09.05 - 13.31.31.88.png,NIN-GEN,,830730545,,
Genshin Impact Screenshot 2025.09.05 - 12.17.21.58.png,SAAD,,829102755,,
Genshin Impact Screenshot 2025.09.05 - 00.00.00.jpg,GOJO,utoober,1810624945,,
Genshin Impact Screenshot 2025.09.03 - 18.13.11.67.png,Srikanth,,856247600,,
Genshin Impact Screenshot 2025.09.02 - 20.53.57.73.png,Aqua,,843005101,,
Genshin Impact Screenshot 2025.09.02 - 14.17.03.51.png,gowtham,,818480599,,
Genshin Impact Screenshot 2025.09.01 - 23.25.36.68.png,Stargo,,1802363564,,
Genshin Impact Screenshot 2025.09.01 - 22.41.50.25.png,mitsuya,,810356499,,
Genshin Impact Screenshot 2025.09.01 - 18.09.59.88.png,God,,820466472,,
Genshin Impact Screenshot 2025.09.01 - 11.52.00.jpg,Ai,,818729410,,
Genshin Impact Screenshot 2025.08.29 - 20.17.56.22.png,Whitedevil,,890728344,,
Genshin Impact Screenshot 2025.08.29 - 00.00.00.jpg,Rosie,,854491270,,
Genshin Impact Screenshot 2025.08.26 - 00.00.00.jpg,Sam,,822986459,,
Genshin Impact Screenshot 2025.08.26 - 00.00.00.jpg,Oishii,,888446488,,
Genshin Impact Screenshot 2025.08.24 - 16.22.57.82.png,krutika,,848353286,,
Genshin Impact Screenshot 2025.08.24 - 12.43.14.59.png,Neel,,1811309590,,
Genshin Impact Screenshot 2025.08.24 - 00.01.23.48.png,Rajma_Chawal,,895355148,,
Genshin Impact Screenshot 2025.08.22 - 21.11.06.38.png,archon,,820467296,,
Genshin Impact Screenshot 2025.08.22 - 11.27.57.02.png,RAJA,,1801334751,,
Genshin Impact Screenshot 2025.08.22 - 11.27.54.79.png,Cosmos,,847901100,,
Genshin Impact Screenshot 2025.08.22 - 00.00.00.jpg,Lumine,,830994911,,
Genshin Impact Screenshot 2025.08.22 - 00.00.00.jpg,Yuragi,,841725664,,
Genshin Impact Screenshot 2025.08.20 - 23.09.17.52.png,Orie,,1814824659,,
Genshin Impact Screenshot 2025.08.20 - 00.00.00.jpg,Priyanshu,,1818078451,,
Genshin Impact Screenshot 2025.08.19 - 23.11.37.49.png,Shikhar,,1815526136,,
Genshin Impact Screenshot 2025.08.19 - 00.03.35.61.png,LUFFY,,1810992524,,
Genshin Impact Screenshot 2025.08.17 - 23.18.27.42.png,shannu,,864253038,,
Genshin Impact Screenshot 2025.08.17 - 15.16.18.90.png,Ayush,,890370973,,
Genshin Impact Screenshot 2025.08.15 - 23.25.48.06.png,SIA,,886359502,,
Genshin Impact Screenshot 2025.08.11 - 23.36.56.68.png,Game_X_Aman,,881877932,,
Genshin Impact Screenshot 2025.08.11 - 22.43.32.32.png,HARSHIT,,1807971166,,
Genshin Impact Screenshot 2025.08.08 - 12.26.41.42.png,Quintessential,,826193307,,
Genshin Impact Screenshot 2025.08.07 - 00.00.00.jpg,whale,,846583965,,
Genshin Impact Screenshot 2025.08.06 - 00.00.00.jpg,Tanmay,,1806546514,,
Genshin Impact Screenshot 2025.07.25 - 00.00.00.jpg,Wallet,,890020449,,
Genshin Impact Screenshot 2025.07.18 - 00.00.00.jpg,KASHISHH,,886017227,,
Genshin Impact Screenshot 2025.07.14 - 00.00.00.jpg,PRAKASH,,1813006752,,
Genshin Impact Screenshot 2025.07.07 - 20.03.56.09.png,Sonu,,1816755655,,
Genshin Impact Screenshot 2025.07.03 - 14.38.20.png,yuuu,,857792663,,
Genshin Impact Screenshot 2025.07.03 - 14.38.16.png,bara,,828773957,,
Genshin Impact Screenshot 2025.07.03 - 14.34.14.png,Subinay,,882389389,,
Genshin Impact Screenshot 2025.07.01 - 20.36.37.png,Himanshu,,877117795,,
Genshin Impact Screenshot 2025.07.01 - 11.05.04.70.png,XoAo,,807007576,,
Genshin Impact Screenshot 2025.07.01 - 00.00.00.jpg,Tushar,,1815528012,,
Genshin Impact Screenshot 2025.06.25 - 00.00.00.jpg,Abhi,,1815157738,,
Genshin Impact Screenshot 2025.06.24 - 23.43.53.22.png,k,second,852419538,,
Genshin Impact Screenshot 2025.06.24 - 00.00.00.jpg,XENVOID,,878742751,,
Genshin Impact Screenshot 2025.06.23 - 23.25.58.29.png,Rambler,,841110902,,
Genshin Impact Screenshot 2025.06.23 - 22.25.41.76.png,mc_themaster,,819941880,,
Genshin Impact Screenshot 2025.06.23 - 20.07.30.67.png,Prabhat,,1816808012,,
Genshin Impact Screenshot 2025.06.23 - 20.07.27.32.png,GodNaitik,,1817252639,,
Genshin Impact Screenshot 2025.06.23 - 00.01.40.91.png,Annie,,856067679,,
Genshin Impact Screenshot 2025.06.22 - 21.50.56.53.png,Loki,,809816460,,
Genshin Impact Screenshot 2025.06.21 - 23.57.33.14.png,ArceusRules,,889103728,,
Genshin Impact Screenshot 2025.06.20 - 23.49.15.png,Vipul,,828194145,,
Genshin Impact Screenshot 2025.06.20 - 21.42.47.46.png,Outrider,,817209890,,
Genshin Impact Screenshot 2025.06.20 - 00.00.00.jpg,Chuuya,,1801964282,,
Genshin Impact Screenshot 2025.06.17 - 22.34.27.64.png,sivu,,882922549,,
Genshin Impact Screenshot 2025.06.17 - 11.15.18.26.png,VARUN,,1811054419,,
Genshin Impact Screenshot 2025.06.16 - 21.24.34.59.png,Dnyan_,,859979841,,
Genshin Impact Screenshot 2025.06.16 - 21.24.29.17.png,Nttn,,877622435,,
Genshin Impact Screenshot 2025.06.15 - 21.40.55.74.png,Vinay,,824682799,,
Genshin Impact Screenshot 2025.06.15 - 21.24.11.32.png,DzBriZzo,,892165934,,
Genshin Impact Screenshot 2025.06.13 - 00.00.00.jpg,Cactus,,1813608825,,
Genshin Impact Screenshot 2025.06.07 - 19.47.49.73.png,Chelley,,861019211,,
Genshin Impact Screenshot 2025.06.07 - 19.47.47.77.png,lumine,,1812014961,,
Genshin Impact Screenshot 2025.06.07 - 19.47.41.98.png,Melony,,1811823182,,
Genshin Impact Screenshot 2025.06.07 - 19.47.37.76.png,Gautam,,1809547362,,
Genshin Impact Screenshot 2025.06.07 - 19.47.31.96.png,Master_W,,891334421,,
Genshin Impact Screenshot 2025.06.07 - 19.47.28.44.png,Akhil,,1806734201,,
Genshin Impact Screenshot 2025.06.07 - 19.47.26.75.png,Fremy,,1803098193,,
Genshin Impact Screenshot 2025.06.07 - 19.47.24.86.png,Retinoblstoma,,883187047,link here,
Genshin Impact Screenshot 2025.06.07 - 19.47.23.19.png,Sonu,,1812287838,,
Genshin Impact Screenshot 2025.06.07 - 19.47.16.97.png,Dinesh,,834765953,,
Genshin Impact Screenshot 2025.06.07 - 19.47.09.100.png,Selena,,1810810051,,
Genshin Impact Screenshot 2025.06.07 - 19.47.01.54.png,Lumipheral,,849134441,,
Genshin Impact Screenshot 2025.06.07 - 19.46.52.17.png,BitterGuy,,847223610,,
Genshin Impact Screenshot 2025.06.07 - 19.46.47.92.png,Katsu,,868850121,,
Genshin Impact Screenshot 2025.06.07 - 19.46.46.16.png,Autumn,,833475316,,
Genshin Impact Screenshot 2025.06.07 - 19.46.44.36.png,sohail,,818689249,,
Genshin Impact Screenshot 2025.06.07 - 19.46.42.44.png,Nani,,820764593,,
Genshin Impact Screenshot 2025.06.07 - 19.46.33.01.png,(:,,853666947,,
Genshin Impact Screenshot 2025.06.07 - 19.46.30.06.png,Ratnadip,,832864129,,
Genshin Impact Screenshot 2025.06.07 - 19.46.26.10.png,Fenaliftaina,,1813061795,,
Genshin Impact Screenshot 2025.06.07 - 19.46.23.52.png,Lumine,,897231286,,
Genshin Impact Screenshot 2025.06.07 - 19.46.19.10.png,Nish,,887405352,,
Genshin Impact Screenshot 2025.06.07 - 19.46.16.11.png,Iris,,834311290,,
Genshin Impact Screenshot 2025.06.06 - 00.00.00.jpg,Raiden,,811286772,,Thailand
Genshin Impact Screenshot 2025.06.06 - 00.00.00.jpg,GYARO,,885495587,,
Genshin Impact Screenshot 2025.06.06 - 00.00.00.jpg,celsy...sayang,,887654280,,
Genshin Impact Screenshot 2025.06.06 - 00.00.00.jpg,Zetaaaaaa-----,,1814361077,,
Genshin Impact Screenshot 2025.06.05 - 00.00.00.jpg,Diablo,,877531335,,
Genshin Impact Screenshot 2025.06.03 - 22.35.56.51.png,smile,,802130795,,
Genshin Impact Screenshot 2025.06.02 - 14.58.54.49.png,MIKU,,882123556,,
Genshin Impact Screenshot 2025.06.01 - 23.59.02.74.png,FallenAngel,,882390033,,
Genshin Impact Screenshot 2023.08.04 - 17.40.00.jpg,Yukan,,1809492828,,Vietnam
Genshin Impact Screenshot 2025.06.01 - 15.02.00.jpg,Cris,,857203758,,
Genshin Impact Screenshot 2025.06.01 - 13.13.35.32.png,Ash,,1812003850,,
Genshin Impact Screenshot 2025.06.01 - 00.00.00.jpg,Zarina,,852585268,,"January 20 2004
Kerala"
Genshin Impact Screenshot 2025.05.27 - 19.47.00.jpg,shubham,,1813067275,,
Genshin Impact Screenshot 2025.05.27 - 00.05.52.90.png,aa,,1804517807,,
Genshin Impact Screenshot 2025.05.26 - 00.07.54.46.png,Felora,,1807450753,,
Genshin Impact Screenshot 2025.05.18 - 18.56.50.35.png,Paolo,,806426386,,
Genshin Impact Screenshot 2025.05.18 - 14.40.27.30.png,lumine,,884893415,,
Genshin Impact Screenshot 2025.05.17 - 21.30.15.12.png,FUFUFAFA,,1805570442,,
Genshin Impact Screenshot 2025.05.17 - 12.56.42.36.png,Dharun,,1804394417,,
Genshin Impact Screenshot 2025.05.16 - 21.12.58.51.png,Lightoningu!,,815686323,,
Genshin Impact Screenshot 2025.05.16 - 19.47.00.jpg,Phout,,897579662,,
Genshin Impact Screenshot 2025.05.16 - 19.47.00.jpg,Ciel,,1803997563,,
Genshin Impact Screenshot 2025.05.15 - 22.53.46.png,Сырок,,843831676,,
Genshin Impact Screenshot 2025.05.15 - 00.00.00.jpg,Nisa,,896812617,,Turkey
Genshin Impact Screenshot 2025.05.09 - 16.40.34.13.png,ゆう,JP,1802196563,,
Genshin Impact Screenshot 2025.05.09 - 14.29.53.26.png,Tarun,,897562520,,
Genshin Impact Screenshot 2025.05.08 - 20.35.42.74.png,Ritesh,,1804500957,,
Genshin Impact Screenshot 2025.05.08 - 19.14.12.79.png,Kevin,,865294122,,
Genshin Impact Screenshot 2025.05.08 - 15.39.21.53.png,Arunika,,882372077,,
Genshin Impact Screenshot 2025.05.08 - 11.01.45.71.png,Arunika,,810155708,,
Genshin Impact Screenshot 2025.05.08 - 00.00.00.jpg,Cristy,Cristy,852844225,,
